a_date,a_country_iso2,asn_count
2025-03-15,KZ,209
2025-03-16,KZ,209
2025-03-17,KZ,209
2025-03-18,KZ,209
2025-03-19,KZ,209
2025-03-20,KZ,209
2025-03-21,KZ,209
2025-03-22,KZ,209
2025-03-23,KZ,209
2025-03-24,KZ,209
2025-03-25,KZ,209
2025-03-26,KZ,209
2025-03-27,KZ,209
2025-03-28,KZ,210
2025-03-29,KZ,210
2025-03-30,KZ,210
2025-03-31,KZ,210
2025-04-01,KZ,210
2025-04-02,KZ,211
2025-04-03,KZ,211
2025-04-04,KZ,211
2025-04-05,KZ,211
2025-04-06,KZ,211
2025-04-07,KZ,211
2025-04-08,KZ,211
2025-04-09,KZ,212
2025-04-10,KZ,213
2025-04-11,KZ,214
2025-04-12,KZ,214
2025-04-13,KZ,214
2025-04-14,KZ,214
2025-04-15,KZ,215
2025-04-16,KZ,215
2025-04-17,KZ,215
2025-04-18,KZ,215
2025-04-19,KZ,215
2025-04-20,KZ,215
2025-04-21,KZ,215
2025-04-22,KZ,214
2025-04-23,KZ,214
2025-04-24,KZ,215
2025-04-25,KZ,216
2025-04-26,KZ,216
2025-04-27,KZ,216
2025-04-28,KZ,216
2025-04-29,KZ,216
2025-04-30,KZ,216
2019-01-01,LT,163
2019-01-02,LT,163
2019-01-03,LT,163
2019-01-04,LT,163
2019-01-05,LT,163
2019-01-06,LT,163
2019-01-07,LT,163
2019-01-08,LT,163
2019-01-09,LT,163
2019-01-10,LT,163
2019-01-11,LT,163
2019-01-12,LT,163
2019-01-13,LT,163
2019-01-14,LT,163
2019-01-15,LT,163
2019-01-16,LT,163
2019-01-17,LT,163
2019-01-18,LT,163
2019-01-19,LT,163
2019-01-20,LT,163
2019-01-21,LT,163
2019-01-22,LT,163
2019-01-23,LT,163
2019-01-24,LT,163
2019-01-25,LT,163
2019-01-26,LT,163
2019-01-27,LT,163
2019-01-28,LT,163
2019-01-29,LT,163
2019-01-30,LT,163
2019-01-31,LT,163
2019-02-01,LT,163
2019-02-02,LT,163
2019-02-03,LT,163
2019-02-04,LT,163
2019-02-05,LT,163
2019-02-06,LT,163
2019-02-07,LT,163
2019-02-08,LT,163
2019-02-09,LT,163
2019-02-10,LT,163
2019-02-11,LT,163
2019-02-12,LT,163
2019-02-13,LT,163
2019-02-14,LT,163
2019-02-15,LT,163
2019-02-16,LT,163
2019-02-17,LT,163
2019-02-18,LT,163
2019-02-19,LT,163
2019-02-20,LT,163
2019-02-21,LT,163
2019-02-22,LT,163
